text,label
BE8 โชว์กำไร 9 เดือนแรกแตะ 213 ล้าน โต 139% รับรายได้บริการเทคโนโลยี,<SYMBOL> BE8 <ASPECT> กำไร <OPINION> โต <POS>
PPS โชว์รายได้ 9 เดือนทะลุ 323 ล้าน แย้ม Q4 โตต่อ ตุนแบ็กล็อกเฉียด 500 ลบ.,<SYMBOL> PPS <ASPECT> รายได้ <OPINION> โชว์ <POS>
PPS โชว์รายได้ 9 เดือนทะลุ 323 ล้าน แย้ม Q4 โตต่อ ตุนแบ็กล็อกเฉียด 500 ลบ.,<SYMBOL> PPS <ASPECT> Q4 <OPINION> โตต่อ <POS>
PPS โชว์รายได้ 9 เดือนทะลุ 323 ล้าน แย้ม Q4 โตต่อ ตุนแบ็กล็อกเฉียด 500 ลบ.,<SYMBOL> PPS <ASPECT> แบ็กล็อก <OPINION> ตุน <POS>
COCOCO โกยกำไร 9 เดือนทะลุ 350 ล้าน ออเดอร์ใหม่ทะลัก-รุกขยายตลาดจีนหนุน,<SYMBOL> COCOCO <ASPECT> กำไร <OPINION> โกย <POS>
COCOCO โกยกำไร 9 เดือนทะลุ 350 ล้าน ออเดอร์ใหม่ทะลัก-รุกขยายตลาดจีนหนุน,<SYMBOL> COCOCO <ASPECT> กำไร <OPINION> ทะลุ <POS>
COCOCO โกยกำไร 9 เดือนทะลุ 350 ล้าน ออเดอร์ใหม่ทะลัก-รุกขยายตลาดจีนหนุน,<SYMBOL> COCOCO <ASPECT> ออเดอร์ใหม่ <OPINION> ทะลัก <POS>
COCOCO โกยกำไร 9 เดือนทะลุ 350 ล้าน ออเดอร์ใหม่ทะลัก-รุกขยายตลาดจีนหนุน,<SYMBOL> COCOCO <ASPECT> รุกขยายตลาดจีน <OPINION> หนุน <POS>
SCGP ลุ้น Q4 แจ่ม! รับดีมานด์ ”แพ็กเกจจิ้ง” อาหาร-เครื่องดื่มหนุน,<SYMBOL> SCGP <ASPECT> Q4 <OPINION> แจ่ม <POS>
SCGP ลุ้น Q4 แจ่ม! รับดีมานด์ ”แพ็กเกจจิ้ง” อาหาร-เครื่องดื่มหนุน,<SYMBOL> SCGP <ASPECT> อาหาร <OPINION> หนุน <POS>
SCGP ลุ้น Q4 แจ่ม! รับดีมานด์ ”แพ็กเกจจิ้ง” อาหาร-เครื่องดื่มหนุน,<SYMBOL> SCGP <ASPECT> เครื่องดื่ม <OPINION> หนุน <POS>
MTC โชว์สินเชื่อ Q3 ขยายตัวตามเป้า รุกขยายสาขาดันพอร์ดปี 67 โต 20%,<SYMBOL> MTC <ASPECT> สินเชื่อ <OPINION> โชว์ <POS>
MTC โชว์สินเชื่อ Q3 ขยายตัวตามเป้า รุกขยายสาขาดันพอร์ดปี 67 โต 20%,<SYMBOL> MTC <ASPECT> เป้า <OPINION> ขยายตัว <POS>
MTC โชว์สินเชื่อ Q3 ขยายตัวตามเป้า รุกขยายสาขาดันพอร์ดปี 67 โต 20%,<SYMBOL> MTC <ASPECT> ดันพอร์ต <OPINION> โต <POS>
WHAUP โชว์กำไร Q3 แตะ 511 ล้าน แจกปันผล 0.060 บ. จ่อขึ้น XD 22 พ.ย.นี้,<SYMBOL> WHAUP <ASPECT> กำไร <OPINION> โชว์ <POS>
JMART ไตรมาส 3 กำไร 293 ล้าน โบรกชี้ครึ่งปีหลังทุกธุรกิจฟื้นชัด,<SYMBOL> JMART <ASPECT> Q3 <OPINION> กำไร <POS>
JMART ไตรมาส 3 กำไร 293 ล้าน โบรกชี้ครึ่งปีหลังทุกธุรกิจฟื้นชัด,<SYMBOL> JMART <ASPECT> ทุกธุรกิจ <OPINION> ฟื้นชัด <POS>
SINGER รายได้ขายลด-ตั้งสำรองหนี้พุ่ง กดกำไร Q3 เหลือ 13 ล้าน,<SYMBOL> SINGER <ASPECT> รายได้ขาย <OPINION> ลด <NEG>
SINGER รายได้ขายลด-ตั้งสำรองหนี้พุ่ง กดกำไร Q3 เหลือ 13 ล้าน,<SYMBOL> SINGER <ASPECT> ตั้งสำรองหนี้ <OPINION> พุ่ง <NEG>
SINGER รายได้ขายลด-ตั้งสำรองหนี้พุ่ง กดกำไร Q3 เหลือ 13 ล้าน,<SYMBOL> SINGER <ASPECT> กำไร <OPINION> กด <NEG>
JMT รายได้ดอกเบี้ย-ส่วนแบ่งร่วมค้าพุ่ง ดันกำไร Q3 แตะ 466 ล้าน,<SYMBOL> JMT <ASPECT> ดอกเบี้ย <OPINION> รายได้ <POS>
JMT รายได้ดอกเบี้ย-ส่วนแบ่งร่วมค้าพุ่ง ดันกำไร Q3 แตะ 466 ล้าน,<SYMBOL> JMT <ASPECT> ส่วนแบ่งร่วมค้า <OPINION> พุ่ง <POS>
JMT รายได้ดอกเบี้ย-ส่วนแบ่งร่วมค้าพุ่ง ดันกำไร Q3 แตะ 466 ล้าน,<SYMBOL> JMT <ASPECT> กำไร <OPINION> ดัน <POS>
TRUE ไตรมาส 3 ขาดทุน 1.6 พันล้าน เซ่นต้นทุนค่าใช้จ่าย-บริหารพุ่ง,<SYMBOL> TRUE <OPINION> ขาดทุน <NEG>
TRUE ไตรมาส 3 ขาดทุน 1.6 พันล้าน เซ่นต้นทุนค่าใช้จ่าย-บริหารพุ่ง,<SYMBOL> TRUE <ASPECT> ต้นทุน <OPINION> พุ่ง <NEG>
OR อวดกำไร Q3 โต 6 เท่า แตะ 5.2 พันล้าน รับรายได้กลุ่มธุรกิจ Mobility หนุน,<SYMBOL> OR <ASPECT> กำไร <OPINION> อวด <POS>
OR อวดกำไร Q3 โต 6 เท่า แตะ 5.2 พันล้าน รับรายได้กลุ่มธุรกิจ Mobility หนุน,<SYMBOL> OR <ASPECT> กำไร <OPINION> โต <POS>
OR อวดกำไร Q3 โต 6 เท่า แตะ 5.2 พันล้าน รับรายได้กลุ่มธุรกิจ Mobility หนุน,<SYMBOL> OR <ASPECT> รายได้ <OPINION> หนุน <POS>
GULF โรงไฟฟ้า-ส่วนแบ่ง “อินทัช” พุ่ง ดันกำไร Q3 โต 2 เท่า แตะ 3.4 พันล้าน,<SYMBOL> GULF <ASPECT> ส่วนแบ่ง <OPINION> พุ่ง <POS>
GULF โรงไฟฟ้า-ส่วนแบ่ง “อินทัช” พุ่ง ดันกำไร Q3 โต 2 เท่า แตะ 3.4 พันล้าน,<SYMBOL> GULF <ASPECT> กำไร <OPINION> ดัน <POS>
GULF โรงไฟฟ้า-ส่วนแบ่ง “อินทัช” พุ่ง ดันกำไร Q3 โต 2 เท่า แตะ 3.4 พันล้าน,<SYMBOL> GULF <ASPECT> กำไร <OPINION> โต <POS>
WHA โชว์กำไร Q3 โตทะลัก 141% แจกปันผล 0.0669 บ. ขึ้น XD 22 พ.ย.นี้,<SYMBOL> WHA <ASPECT> กำไร <OPINION> โชว์ <POS>
WHA โชว์กำไร Q3 โตทะลัก 141% แจกปันผล 0.0669 บ. ขึ้น XD 22 พ.ย.นี้,<SYMBOL> WHA <ASPECT> กำไร <OPINION> โตทะลัก <POS>
CKP ลุ้นงบ Q4 โตเด่นรับ “ไฮซีซั่น” หลังปริมาณน้ำดีต่อเนื่อง,<SYMBOL> CKP <ASPECT> งบ <OPINION> โตเด่น <POS>
CKP ลุ้นงบ Q4 โตเด่นรับ “ไฮซีซั่น” หลังปริมาณน้ำดีต่อเนื่อง,<SYMBOL> CKP <ASPECT> ปริมาณน้ำ <OPINION> ดีต่อเนื่อง <POS>
YONG โชว์กำไร Q3 โต 45% แตะ 33 ล้าน วางเป้ารายได้ปี 66 ทะลุพันลบ.,<SYMBOL> YONG <ASPECT> กำไร <OPINION> โชว์ <POS>
YONG โชว์กำไร Q3 โต 45% แตะ 33 ล้าน วางเป้ารายได้ปี 66 ทะลุพันลบ.,<SYMBOL> YONG <ASPECT> กำไร <OPINION> โต <POS>
YONG โชว์กำไร Q3 โต 45% แตะ 33 ล้าน วางเป้ารายได้ปี 66 ทะลุพันลบ.,<SYMBOL> YONG <ASPECT> กำไร <OPINION> แตะ <POS>
YONG โชว์กำไร Q3 โต 45% แตะ 33 ล้าน วางเป้ารายได้ปี 66 ทะลุพันลบ.,<SYMBOL> YONG <ASPECT> เป้ารายได้ <OPINION> ทะลุ <POS>
สรุป SET100 วันนี้ BGRIM บวกสูงสุด 3%,<SYMBOL> BGRIM <OPINION> บวกสูงสุด <POS>
COM7 รูด 6% หวั่นกำไร Q3 หดตัว หลังปิดปรับปรุง 40 สาขาใหญ่,<SYMBOL> COM7 <OPINION> รูด <NEG>
COM7 รูด 6% หวั่นกำไร Q3 หดตัว หลังปิดปรับปรุง 40 สาขาใหญ่,<SYMBOL> COM7 <ASPECT> กำไร <OPINION> หวั่น <NEG>
COM7 รูด 6% หวั่นกำไร Q3 หดตัว หลังปิดปรับปรุง 40 สาขาใหญ่,<SYMBOL> COM7 <ASPECT> กำไร <OPINION> หดตัว <NEG>
IRPC ไตรมาส 3 พลิกกำไร 2.44 พันล้าน ลุยแตกไลน์ธุรกิจ “Health & Wellness” เขตพื้นที่ EEC,<SYMBOL> IRPC <ASPECT> พลิก <OPINION> กำไร <POS>
MINT รายได้ธุรกิจโรงแรม-อาหารพุ่ง ดันกำไร 9 เดือนแรกโต 86% แตะ 4.4 พันล้าน,<SYMBOL> MINT <ASPECT> รายได้ <OPINION> พุ่ง <POS>
MINT รายได้ธุรกิจโรงแรม-อาหารพุ่ง ดันกำไร 9 เดือนแรกโต 86% แตะ 4.4 พันล้าน,<SYMBOL> MINT <ASPECT> กำไร <OPINION> ดัน <POS>
MINT รายได้ธุรกิจโรงแรม-อาหารพุ่ง ดันกำไร 9 เดือนแรกโต 86% แตะ 4.4 พันล้าน,<SYMBOL> MINT <ASPECT> กำไร <OPINION> โต <POS>
MINT รายได้ธุรกิจโรงแรม-อาหารพุ่ง ดันกำไร 9 เดือนแรกโต 86% แตะ 4.4 พันล้าน,<SYMBOL> MINT <ASPECT> กำไร <OPINION> แตะ <POS>
DOD โชว์กำไร Q3 โต 33 เท่าตัว แตะ 10 ล้าน ส่งซิกไตรมาส 4 สุดพีก ดันทั้งปีเทิร์นอะราวด์,<SYMBOL> DOD <ASPECT> กำไร <OPINION> โชว์ <POS>
DOD โชว์กำไร Q3 โต 33 เท่าตัว แตะ 10 ล้าน ส่งซิกไตรมาส 4 สุดพีก ดันทั้งปีเทิร์นอะราวด์,<SYMBOL> DOD <ASPECT> กำไร <OPINION> โต <POS>
DOD โชว์กำไร Q3 โต 33 เท่าตัว แตะ 10 ล้าน ส่งซิกไตรมาส 4 สุดพีก ดันทั้งปีเทิร์นอะราวด์,<SYMBOL> DOD <OPINION> สุดพีก <POS>
DOD โชว์กำไร Q3 โต 33 เท่าตัว แตะ 10 ล้าน ส่งซิกไตรมาส 4 สุดพีก ดันทั้งปีเทิร์นอะราวด์,<SYMBOL> DOD <ASPECT> เทิร์นอะราวด์ <OPINION> ดัน <POS>
MTC โบรกแนะซื้อเป้า 49 บาท หลังโชว์งบ Q3 กำไรทะลุ 1.28 พันล้าน คุม NPL ดีขึ้น,<SYMBOL> MTC <ASPECT> งบ <OPINION> โชว์ <POS>
MTC โบรกแนะซื้อเป้า 49 บาท หลังโชว์งบ Q3 กำไรทะลุ 1.28 พันล้าน คุม NPL ดีขึ้น,<SYMBOL> MTC <ASPECT> กำไร <OPINION> ทะลุ <POS>
CBG ลุ้นงบไตรมาส 3 กำไรแจ่ม พ่วงไตรมาส 4/66 เด่นต่อ แนะซื้อเป้า 98.30 บาท,<SYMBOL> CBG <ASPECT> กำไร <OPINION> แจ่ม <POS>
CBG ลุ้นงบไตรมาส 3 กำไรแจ่ม พ่วงไตรมาส 4/66 เด่นต่อ แนะซื้อเป้า 98.30 บาท,<SYMBOL> CBG <ASPECT> กำไร <OPINION> เด่นต่อ <POS>
สรุปกระดานรายใหญ่เช้านี้ WHA มูลค่าสูงสุด 12 ล้านบาท,<SYMBOL> WHA <ASPECT> มูลค่า <OPINION> สูงสุด <NEU>
SUN ปิดเช้าพุ่ง 6% รับงบ Q3 กำไรโตเท่าตัว โบรกแนะซื้ออัพเป้าใหม่ 6 บ.,<SYMBOL> SUN <ASPECT> ปิด <OPINION> พุ่ง <POS>
SUN ปิดเช้าพุ่ง 6% รับงบ Q3 กำไรโตเท่าตัว โบรกแนะซื้ออัพเป้าใหม่ 6 บ.,<SYMBOL> SUN <ASPECT> กำไร <OPINION> โตเท่าตัว <POS>
สรุป SET100 เช้านี้ AMATA บวกสูงสุด 3%,<SYMBOL> AMATA <OPINION> บวกสูงสุด <POS>
SFLEX โชว์กำไร Q3 แตะ 49 ล้าน เคาะปันผล 0.045 บ. ขึ้น XD 22 พ.ย.นี้,<SYMBOL> SFLEX <ASPECT> กำไร <OPINION> โชว์ <POS>
SFLEX โชว์กำไร Q3 แตะ 49 ล้าน เคาะปันผล 0.045 บ. ขึ้น XD 22 พ.ย.นี้,<SYMBOL> SFLEX <ASPECT> กำไร <OPINION> แตะ <POS>
ITNS กวาดรายได้ Q3 ทะลุ 200 ล้าน มั่นใจปีนี้โตเข้าเป้า 30%,<SYMBOL> ITNS <ASPECT> รายได้ <OPINION> กวาด <POS>
ITNS กวาดรายได้ Q3 ทะลุ 200 ล้าน มั่นใจปีนี้โตเข้าเป้า 30%,<SYMBOL> ITNS <ASPECT> รายได้ <OPINION> ทะลุ <POS>
ITNS กวาดรายได้ Q3 ทะลุ 200 ล้าน มั่นใจปีนี้โตเข้าเป้า 30%,<SYMBOL> ITNS <ASPECT> รายได้ <OPINION> มั่นใจ <POS>
ITNS กวาดรายได้ Q3 ทะลุ 200 ล้าน มั่นใจปีนี้โตเข้าเป้า 30%,<SYMBOL> ITNS <ASPECT> รายได้ <OPINION> เข้าเป้า <POS>
ITNS กวาดรายได้ Q3 ทะลุ 200 ล้าน มั่นใจปีนี้โตเข้าเป้า 30%,<SYMBOL> ITNS <ASPECT> รายได้ <OPINION> โต <POS>
CRANE เด้งแรง 10% รับงบ Q3 พลิกกำไร 125 ล้าน ลุ้นปีนี้ “เทิร์นอะราวด์”,<SYMBOL> CRANE <OPINION> เด้งแรง <POS>
CRANE เด้งแรง 10% รับงบ Q3 พลิกกำไร 125 ล้าน ลุ้นปีนี้ “เทิร์นอะราวด์”,<SYMBOL> CRANE <ASPECT> งบ <OPINION> กำไร <POS>
CM วิ่ง 18% รับงบ Q3 พลิกกำไร 67 ล้านบาท หลังคุมต้นทุน-ค่าใช้จ่ายดี,<SYMBOL> CM <OPINION> วิ่ง <POS>
CM วิ่ง 18% รับงบ Q3 พลิกกำไร 67 ล้านบาท หลังคุมต้นทุน-ค่าใช้จ่ายดี,<SYMBOL> CM <ASPECT> งบ <OPINION> กำไร <POS>
CM วิ่ง 18% รับงบ Q3 พลิกกำไร 67 ล้านบาท หลังคุมต้นทุน-ค่าใช้จ่ายดี,<SYMBOL> CM <ASPECT> คุมต้นทุน-ค่าใช้จ่าย <OPINION> ดี <POS>
III โชว์กำไร Q3 แตะ 160 ล้านบาท มั่นใจปีนี้โตกว่า 25%,<SYMBOL> III <ASPECT> กำไร <OPINION> โชว์ <POS>
III โชว์กำไร Q3 แตะ 160 ล้านบาท มั่นใจปีนี้โตกว่า 25%,<SYMBOL> III <ASPECT> กำไร <OPINION> แตะ <POS>
III โชว์กำไร Q3 แตะ 160 ล้านบาท มั่นใจปีนี้โตกว่า 25%,<SYMBOL> III <ASPECT> กำไร <OPINION> โต <POS>
ICHI บวก 3% อัพรายได้ปีนี้ 7.8 พันล้าน โบรกแนะ “ซื้อ” เป้า 19 บาท,<SYMBOL> ICHI <OPINION> บวก <POS>
ICHI บวก 3% อัพรายได้ปีนี้ 7.8 พันล้าน โบรกแนะ “ซื้อ” เป้า 19 บาท,<SYMBOL> ICHI <ASPECT> รายได้ <OPINION> อัพ <POS>
BJC ร่วง 7% หลังกำไร Q3 วูบ 25% เหลือ 693 ล้าน,<SYMBOL> BJC <OPINION> ร่วง <NEG>
BJC ร่วง 7% หลังกำไร Q3 วูบ 25% เหลือ 693 ล้าน,<SYMBOL> BJC <ASPECT> กำไร <OPINION> วูบ <NEG>
STA พ้นจุดต่ำสุด! ลุ้นรายได้ Q4 ฟื้น รับส่งออก “ยาง” เพิ่ม-ราคาขายสูง,<SYMBOL> STA <ASPECT> จุดต่ำสุด <OPINION> พ้น <POS>
STA พ้นจุดต่ำสุด! ลุ้นรายได้ Q4 ฟื้น รับส่งออก “ยาง” เพิ่ม-ราคาขายสูง,<SYMBOL> STA <ASPECT> รายได้ <OPINION> ฟื้น <POS>
STA พ้นจุดต่ำสุด! ลุ้นรายได้ Q4 ฟื้น รับส่งออก “ยาง” เพิ่ม-ราคาขายสูง,<SYMBOL> STA <ASPECT> เพิ่มราคาขาย <OPINION> สูง <POS>
TEAMG โชว์กำไร Q3 ทะลุ 30 ล้าน รุกงาน “รัฐ-เอกชน” ดันแบ็กล็อกปีนี้ 6 พันล้าน,<SYMBOL> TEAMG <ASPECT> กำไร <OPINION> โชว์ <POS>
TEAMG โชว์กำไร Q3 ทะลุ 30 ล้าน รุกงาน “รัฐ-เอกชน” ดันแบ็กล็อกปีนี้ 6 พันล้าน,<SYMBOL> TEAMG <ASPECT> กำไร <OPINION> ทะลุ <POS>
TEAMG โชว์กำไร Q3 ทะลุ 30 ล้าน รุกงาน “รัฐ-เอกชน” ดันแบ็กล็อกปีนี้ 6 พันล้าน,<SYMBOL> TEAMG <ASPECT> แบ็กล็อก <OPINION> ดัน <POS>
BH โชว์กำไร Q3 โต 30% ทะลุ 1.9 พันล้าน รับรายได้ผู้ป่วยไทย-ต่างชาติพุ่ง,<SYMBOL> BH <ASPECT> กำไร <OPINION> โชว์ <POS>
BH โชว์กำไร Q3 โต 30% ทะลุ 1.9 พันล้าน รับรายได้ผู้ป่วยไทย-ต่างชาติพุ่ง,<SYMBOL> BH <ASPECT> กำไร <OPINION> โต <POS>
BH โชว์กำไร Q3 โต 30% ทะลุ 1.9 พันล้าน รับรายได้ผู้ป่วยไทย-ต่างชาติพุ่ง,<SYMBOL> BH <ASPECT> กำไร <OPINION> ทะลุ <POS>
BH โชว์กำไร Q3 โต 30% ทะลุ 1.9 พันล้าน รับรายได้ผู้ป่วยไทย-ต่างชาติพุ่ง,<SYMBOL> BH <ASPECT> รายได้ <OPINION> พุ่ง <POS>
SVR กวาดรายได้ 9 เดือนทะลุ 700 ล้าน ดันกำไรโตทะลัก 75%,<SYMBOL> SVR <ASPECT> รายได้ <OPINION> กวาด <POS>
SVR กวาดรายได้ 9 เดือนทะลุ 700 ล้าน ดันกำไรโตทะลัก 75%,<SYMBOL> SVR <ASPECT> รายได้ <OPINION> ทะลุ <POS>
SVR กวาดรายได้ 9 เดือนทะลุ 700 ล้าน ดันกำไรโตทะลัก 75%,<SYMBOL> SVR <ASPECT> กำไร <OPINION> ดัน <POS>
SVR กวาดรายได้ 9 เดือนทะลุ 700 ล้าน ดันกำไรโตทะลัก 75%,<SYMBOL> SVR <ASPECT> กำไร <OPINION> โตทะลัก <POS>
LPN ส่งซิก Q4 ลุยเปิดอีก 2 โครงการ ดันยอดขายปีนี้เข้าเป้า 1.3 หมื่นล้าน,<SYMBOL> LPN <ASPECT> Q4 <OPINION> ส่งซิก <POS>
LPN ส่งซิก Q4 ลุยเปิดอีก 2 โครงการ ดันยอดขายปีนี้เข้าเป้า 1.3 หมื่นล้าน,<SYMBOL> LPN <ASPECT> โครงการ <OPINION> ลุยเปิด <POS>
LPN ส่งซิก Q4 ลุยเปิดอีก 2 โครงการ ดันยอดขายปีนี้เข้าเป้า 1.3 หมื่นล้าน,<SYMBOL> LPN <ASPECT> ยอดขาย <OPINION> ดัน <POS>
LPN ส่งซิก Q4 ลุยเปิดอีก 2 โครงการ ดันยอดขายปีนี้เข้าเป้า 1.3 หมื่นล้าน,<SYMBOL> LPN <ASPECT> ยอดขาย <OPINION> เข้าเป้า <POS>
AP ลุยผุด 23 โครงการใหม่ Q4 หลังตุน “แบ็กล็อก” 3.2 หมื่นล้าน,<SYMBOL> AP <ASPECT> โครงการ <OPINION> ลุยผุด <POS>
AP ลุยผุด 23 โครงการใหม่ Q4 หลังตุน “แบ็กล็อก” 3.2 หมื่นล้าน,<SYMBOL> AP <ASPECT> แบ็กล็อก <OPINION> ตุน <POS>
AU กลับมาทำกำไรสูงสุดในรอบ 5 ปี,<SYMBOL> AU <ASPECT> กำไร <OPINION> สูงสุด <POS>
CPAXT กวาดรายได้ Q3 เฉียด 1.2 แสนล้าน ตอกย้ำผู้นำ “ค้าส่ง-ปลีก” เบอร์ 1 ไทย,<SYMBOL> CPAXT <ASPECT> รายได้ <OPINION> กวาด <POS>
CPAXT กวาดรายได้ Q3 เฉียด 1.2 แสนล้าน ตอกย้ำผู้นำ “ค้าส่ง-ปลีก” เบอร์ 1 ไทย,<SYMBOL> CPAXT <ASPECT> รายได้ <OPINION> เฉียด <POS>
OSP ยอดขายเครื่องดื่ม-ของใช้พุ่ง ดันกำไร Q3 โต 163% แตะ 642 ล้านบาท,<SYMBOL> OSP <ASPECT> ยอดขาย <OPINION> พุ่ง <POS>
OSP ยอดขายเครื่องดื่ม-ของใช้พุ่ง ดันกำไร Q3 โต 163% แตะ 642 ล้านบาท,<SYMBOL> OSP <ASPECT> กำไร <OPINION> ดัน <POS>
OSP ยอดขายเครื่องดื่ม-ของใช้พุ่ง ดันกำไร Q3 โต 163% แตะ 642 ล้านบาท,<SYMBOL> OSP <ASPECT> กำไร <OPINION> โต <POS>
ICHI กวาดกำไร Q3 โต 71% แตะ 328 ล้าน พ่วงปันผล 0.50 บาท ขึ้น XD 21 พ.ย.นี้,<SYMBOL> ICHI <ASPECT> กำไร <OPINION> กวาด <POS>
ICHI กวาดกำไร Q3 โต 71% แตะ 328 ล้าน พ่วงปันผล 0.50 บาท ขึ้น XD 21 พ.ย.นี้,<SYMBOL> ICHI <ASPECT> กำไร <OPINION> โต <POS>
GUNKUL เปิดกำไร Q3 แตะ 462 ล้าน พ่วงปันผล 0.06 บาท ขึ้น XD 22 พ.ย.นี้,<SYMBOL> GUNKUL <ASPECT> กำไร <OPINION> เปิด <NEU>
JAS กลับสำรองประกันค่าเช่า JASIF ดันไตรมาส 3 พลิกกำไร 4.2 พันล้าน,<SYMBOL> JAS <OPINION> ดัน <POS>
JAS กลับสำรองประกันค่าเช่า JASIF ดันไตรมาส 3 พลิกกำไร 4.2 พันล้าน,<SYMBOL> JAS <ASPECT> พลิก <OPINION> กำไร <POS>
PTTGC ไตรมาส 3 พลิกกำไร 1.4 พันล้าน รับค่าการกลั่นฟื้น,<SYMBOL> PTTGC <ASPECT> พลิก <OPINION> กำไร <POS>
BCP กำไร Q3 ทะลุ 1.1 หมื่นล้าน “ออลไทม์ไฮ” รับค่าการกลั่นพุ่ง,<SYMBOL> BCP <ASPECT> กำไร <OPINION> ทะลุ <POS>
BCP กำไร Q3 ทะลุ 1.1 หมื่นล้าน “ออลไทม์ไฮ” รับค่าการกลั่นพุ่ง,<SYMBOL> BCP <ASPECT> กำไร <OPINION> ออลไทม์ไฮ <POS>
BCP กำไร Q3 ทะลุ 1.1 หมื่นล้าน “ออลไทม์ไฮ” รับค่าการกลั่นพุ่ง,<SYMBOL> BCP <ASPECT> การกลั่น <OPINION> พุ่ง <POS>
สรุปกระดานรายใหญ่วันนี้ AAV มูลค่าสูงสุด 334 ล้านบาท,<SYMBOL> AAV <ASPECT> มูลค่า <OPINION> สูงสุด <NEU>
สรุป SET100 วันนี้ AAV บวกสูงสุด 6%,<SYMBOL> AAV <OPINION> บวกสูงสุด <POS>
DRT โชว์รายได้ Q3 ทะลุ 1.3 พันล้าน มั่นใจดันทั้งปีโตตามเป้า,<SYMBOL> DRT <ASPECT> รายได้ <OPINION> โชว์ <POS>
DRT โชว์รายได้ Q3 ทะลุ 1.3 พันล้าน มั่นใจดันทั้งปีโตตามเป้า,<SYMBOL> DRT <ASPECT> รายได้ <OPINION> ทะลุ <POS>
DRT โชว์รายได้ Q3 ทะลุ 1.3 พันล้าน มั่นใจดันทั้งปีโตตามเป้า,<SYMBOL> DRT <ASPECT> เป้า <OPINION> มั่นใจ <POS>
DRT โชว์รายได้ Q3 ทะลุ 1.3 พันล้าน มั่นใจดันทั้งปีโตตามเป้า,<SYMBOL> DRT <ASPECT> เป้า <OPINION> ดัน <POS>
DRT โชว์รายได้ Q3 ทะลุ 1.3 พันล้าน มั่นใจดันทั้งปีโตตามเป้า,<SYMBOL> DRT <ASPECT> เป้า <OPINION> โต <POS>
J โชว์กำไร Q3 โตทะลัก 617% ปักธงปี 67 ลุยพัฒนาศูนย์การค้าชุมชน 3 โปรเจกต์ใหม่,<SYMBOL> J <ASPECT> กำไร <OPINION> โชว์ <POS>
J โชว์กำไร Q3 โตทะลัก 617% ปักธงปี 67 ลุยพัฒนาศูนย์การค้าชุมชน 3 โปรเจกต์ใหม่,<SYMBOL> J <ASPECT> กำไร <OPINION> โตทะลัก <POS>
